time,gFx,gFy,gFz,TgF
2.486423,0.4082,-0.0735,0.6915,0.806
2.490258,0.3258,-0.0825,0.6227,0.708
2.503238,0.3261,-0.0661,0.5740,0.663
2.519119,0.3317,-0.0006,0.5645,0.655
2.522046,0.1970,0.0032,0.6050,0.636
2.536731,0.1607,-0.0023,0.6136,0.634
2.552108,-0.1246,-0.0124,0.6481,0.660
2.571970,-0.3205,0.0422,0.6111,0.691
2.584915,-0.3823,0.1067,0.6121,0.730
2.588927,-0.4365,0.1830,0.7262,0.867
2.603198,-0.4417,0.1915,0.7374,0.881
2.619884,-0.5372,0.2602,0.7976,0.996
2.635283,-0.8231,0.2660,0.7648,1.155
2.639121,-1.0027,0.4307,0.6131,1.252
2.652945,-1.0053,0.4344,0.5901,1.244
2.669270,-1.1089,0.4875,0.5515,1.331
2.671850,-1.1556,0.4964,0.5804,1.385
2.684610,-1.1524,0.4996,0.5862,1.386
2.687856,-1.0314,0.5101,0.6295,1.312
2.705458,-1.0065,0.5074,0.6241,1.288
2.718503,-0.6567,0.6375,0.5718,1.079
2.735630,-0.4368,0.7430,0.5743,1.036
2.754295,-0.5521,0.5839,0.5694,0.985
2.768725,-0.8108,0.3528,0.5569,1.045
2.785545,-0.9323,0.2131,0.6229,1.141
2.801036,-0.9047,0.1398,0.6419,1.118
2.804569,-0.8524,0.1190,0.5144,1.003
2.819171,-0.8399,0.1224,0.4702,0.970
2.834694,-0.6675,0.1417,0.1855,0.707
2.850870,-0.5844,0.1581,-0.0028,0.605
2.854098,-0.5775,0.1116,-0.1051,0.598
2.870224,-0.5827,0.1053,-0.1149,0.603
2.883959,-0.7151,0.0596,-0.2169,0.750
2.887049,-1.0112,0.0503,-0.3783,1.081
2.902079,-1.0510,0.0594,-0.4708,1.153
2.917031,-1.3351,0.1344,-0.9462,1.642
2.934372,-1.8590,0.0692,-1.3545,2.301
2.950848,-2.2606,0.0848,-1.2604,2.590
2.966237,-2.4092,0.2770,-0.8719,2.577
2.970089,-2.4661,0.4330,-0.6017,2.575
2.984602,-2.4698,0.4554,-0.5800,2.578
3.000890,-2.4817,0.5329,-0.4789,2.583
3.016697,-2.4209,0.5175,-0.3448,2.500
3.036884,-2.1111,0.4588,-0.1197,2.164
3.050869,-1.6777,0.4535,-0.0724,1.739
3.068523,-1.3388,0.5036,-0.0406,1.431
3.087082,-1.1488,0.5395,0.0192,1.269
3.100214,-1.0652,0.4957,0.1250,1.182
3.113753,-1.0366,0.4188,0.1467,1.128
3.116753,-1.0146,0.3379,0.1174,1.076
3.133174,-1.0027,0.3066,0.1073,1.054
3.148745,-0.9426,0.2272,0.1033,0.975
3.159819,-0.8069,0.2108,0.0856,0.838
