time,gFx,gFy,gFz,TgF
2.468073,-0.4913,0.8104,0.0937,0.952
2.481889,-0.4402,0.8067,0.0749,0.922
2.495823,-0.3662,0.8113,0.1511,0.903
2.511519,-0.3799,0.8118,0.2715,0.937
2.514143,-0.5357,0.8001,0.3754,1.033
2.531108,-0.5639,0.7950,0.3920,1.051
2.546429,-0.7532,0.7676,0.5733,1.219
2.549622,-0.8532,0.7452,0.7120,1.338
2.565128,-0.8625,0.7384,0.7289,1.349
2.581758,-0.8573,0.7132,0.7783,1.360
2.597144,-0.7691,0.7039,0.7732,1.298
2.615120,-0.6708,0.6626,0.6654,1.154
2.630017,-0.5758,0.6157,0.5579,1.011
2.633434,-0.5013,0.5695,0.4885,0.902
2.649542,-0.4886,0.5616,0.4763,0.884
2.666264,-0.4172,0.5094,0.4291,0.786
2.682578,-0.3291,0.4661,0.4138,0.705
2.700089,-0.2538,0.4356,0.4218,0.657
2.715389,-0.1766,0.3936,0.4098,0.595
2.730071,-0.1893,0.3330,0.3756,0.536
2.746584,-0.2909,0.2858,0.3206,0.519
2.765151,-0.3268,0.2656,0.3861,0.571
2.780947,-0.2993,0.3352,0.5232,0.690
2.798327,-0.3086,0.4137,0.5601,0.762
2.815187,-0.4493,0.4852,0.5808,0.880
2.834416,-0.6454,0.5500,0.5906,1.033
2.850618,-0.7244,0.7564,0.7416,1.283
2.867255,-0.7830,1.0349,0.7905,1.520
2.882099,-0.8199,1.2380,0.8967,1.735
2.896507,-0.8483,1.3833,1.0668,1.942
2.911741,-1.0298,1.4293,1.3979,2.249
2.928639,-1.2589,1.2783,1.6209,2.418
2.943934,-1.2436,1.1146,1.8078,2.461
2.961345,-0.9823,0.9995,1.8638,2.332
2.981502,-0.6885,0.8979,1.6964,2.039
2.996863,-0.4258,0.7293,1.2288,1.491
3.012722,-0.2578,0.6350,0.7746,1.034
3.029484,-0.1021,0.5485,0.3050,0.636
3.047102,0.0000,0.5020,0.0106,0.502
3.062219,0.0470,0.4523,-0.1207,0.470
3.078762,0.0874,0.3899,-0.0887,0.409
3.095274,0.1402,0.4036,0.0206,0.428
3.111248,0.1003,0.3914,0.0211,0.405
3.126094,0.0344,0.3738,-0.0098,0.375
3.128691,0.0083,0.4095,-0.0345,0.411
3.142507,-0.0016,0.4097,-0.0335,0.411
3.157905,-0.0432,0.4185,-0.0315,0.422
3.161494,-0.0654,0.5278,0.0488,0.534
