time,gFx,gFy,gFz,TgF
5.090500,-0.2436,1.0366,3.4156,3.578
5.105319,-0.3542,0.7214,2.4474,2.576
5.121249,-0.5634,0.4349,1.3996,1.570
5.137188,-0.7579,0.0902,0.2901,0.816
5.152673,-0.6349,-0.0143,-0.6707,0.924
5.167819,-0.4639,0.0878,-1.2583,1.344
5.184110,-0.3486,0.2621,-1.2993,1.371
5.201805,-0.2480,0.2069,-1.3273,1.366
5.217146,-0.4458,0.1219,-1.0076,1.109
5.232945,-0.7224,0.0792,-0.8656,1.130
5.254597,-0.8919,0.0452,-1.0081,1.347
5.276866,-0.6506,0.1915,-1.0869,1.281
5.301180,-0.3538,0.4114,-1.0885,1.216
5.321781,-0.3012,0.7452,-0.9421,1.238
5.349515,-0.5482,0.9054,-0.6643,1.250
5.369765,-0.6176,1.0615,-0.2807,1.260
5.387436,-0.2609,1.4180,0.1047,1.446
5.404283,-0.3750,1.4502,0.2696,1.522
5.421201,-0.5413,1.4432,0.2808,1.567
5.438593,-0.6191,1.4717,0.3124,1.627
5.455702,-0.6320,1.4918,0.3463,1.657
5.473068,-0.5374,1.3941,0.2363,1.513
5.491477,-0.4581,1.1698,0.0817,1.259
5.507113,-0.4265,0.8986,-0.0716,0.997
5.521727,-0.2836,0.7452,-0.2392,0.832
5.548527,-0.0481,0.6436,-0.4459,0.784
5.565416,0.0820,0.4156,-0.6313,0.760
5.580760,-0.0892,0.1696,-0.6073,0.637
5.596350,-0.2194,0.0151,-0.5815,0.622
5.614432,-0.3139,-0.0170,-0.5546,0.637
5.628962,-0.2760,0.0193,-0.5756,0.639
5.632005,-0.2445,0.0168,-0.5668,0.618
5.647755,-0.2457,0.0100,-0.5644,0.616
5.664656,-0.2529,-0.0165,-0.5703,0.624
5.681494,-0.2802,-0.0057,-0.4510,0.531
5.698443,-0.3337,0.0713,-0.2712,0.436
5.716363,-0.2963,0.1950,-0.1085,0.371
5.733537,-0.4046,0.4479,0.1259,0.617
5.751985,-0.5292,0.6529,0.2366,0.873
5.769362,-0.5890,0.9340,0.1242,1.111
5.787610,-0.5827,1.0146,-0.1161,1.176
5.803810,-0.5632,0.9480,-0.3823,1.167
5.819344,-0.4232,0.7491,-0.4319,0.963
5.835796,-0.4698,0.5180,-0.3848,0.798
5.853839,-0.5357,0.2470,-0.3855,0.705
5.872316,-0.5171,-0.1389,-0.1212,0.549
5.888313,-0.3776,-0.0441,0.5054,0.632
5.907114,-0.1610,0.5004,1.2344,1.342
5.924375,-0.1165,1.0102,1.3898,1.722
5.941370,-0.6809,0.6259,0.8867,1.281
5.959508,-0.6070,0.5707,0.2419,0.868
5.976017,-0.0936,0.6829,-0.1249,0.700
5.978777,-0.0997,0.6770,-0.1283,0.696
6.002956,-1.1294,0.6054,0.5860,1.409
6.020039,-2.8865,0.5192,-0.0926,2.934
6.039353,-2.9000,0.6035,-0.2642,2.974
6.057575,-2.1378,0.8067,-0.0665,2.286
6.075809,-1.7185,0.9557,0.3178,1.992
6.093503,-1.6477,0.8930,0.2867,1.896
6.109197,-1.6405,0.7230,-0.0208,1.793
6.126252,-1.4178,0.6902,-0.4317,1.635
6.146420,-1.1600,0.7127,-0.7286,1.544
6.162321,-1.0591,0.5976,-0.8889,1.506
6.180889,-1.1453,0.4104,-0.7452,1.427
6.199533,-1.2240,0.3115,-0.3518,1.311
6.217330,-1.1008,0.3054,-0.0785,1.145
6.235174,-0.8986,0.3222,-0.0084,0.955
6.252630,-0.7901,0.2900,-0.0616,0.844
6.265643,-0.6902,0.2578,-0.1615,0.754
6.283643,-0.6298,0.2509,-0.2218,0.713
6.300108,-0.5436,0.2917,-0.3274,0.698
6.314595,-0.4486,0.3711,-0.4422,0.731
6.329580,-0.4707,0.3750,-0.5605,0.822
6.343489,-0.5934,0.3184,-0.5805,0.889
6.361230,-0.6303,0.3289,-0.4305,0.831
6.375094,-0.6923,0.4908,-0.1622,0.864
6.396095,-0.7891,0.6189,-0.0266,1.003
6.409756,-0.7987,0.8036,0.0126,1.133
6.430091,-0.5990,0.9523,0.1331,1.133
6.447746,0.3818,1.6626,0.9684,1.962
