time,gFx,gFy,gFz,TgF
2.339112,-0.8685,0.6347,0.2884,1.114
2.354131,-0.8737,0.6338,0.3341,1.130
2.365439,-0.8951,0.6391,0.4687,1.196
2.368319,-0.9130,0.6262,0.5586,1.240
2.385117,-0.9240,0.6130,0.5771,1.250
2.401163,-0.9338,0.5930,0.5711,1.245
2.419298,-0.9382,0.5854,0.5322,1.227
2.432212,-0.9440,0.5527,0.4650,1.189
2.452190,-0.9044,0.5292,0.4367,1.135
2.465999,-0.7334,0.5411,0.4326,1.009
2.470178,-0.5942,0.5532,0.4045,0.907
2.485934,-0.5778,0.5548,0.4157,0.902
2.499266,-0.5220,0.5646,0.4924,0.913
2.502677,-0.5213,0.5558,0.6316,0.990
2.516712,-0.5224,0.5532,0.6602,1.007
2.533284,-0.5306,0.5754,0.7727,1.100
2.535940,-0.6648,0.5607,0.7453,1.145
2.550458,-0.6892,0.5546,0.7250,1.144
2.565520,-0.7451,0.5529,0.5276,1.067
2.568763,-0.7444,0.5536,0.3460,0.990
2.581215,-0.7412,0.5516,0.3155,0.976
2.585529,-0.7172,0.5458,0.1902,0.921
2.599205,-0.7136,0.5478,0.1804,0.917
2.612596,-0.7067,0.5411,0.1755,0.907
2.615703,-0.6958,0.5169,0.1818,0.886
2.619779,-0.6972,0.5143,0.1792,0.885
2.637759,-0.6990,0.5108,0.1790,0.884
2.653067,-0.7637,0.4735,0.1308,0.908
2.667959,-0.7866,0.4561,0.0700,0.912
2.679831,-0.7031,0.4808,0.1271,0.861
2.683356,-0.6024,0.5290,0.2315,0.834
2.700262,-0.5937,0.5362,0.2535,0.839
2.716263,-0.5567,0.6047,0.3539,0.895
2.730776,-0.5729,0.7212,0.4821,1.040
2.748100,-0.7034,0.7869,0.6502,1.240
2.750985,-0.8416,0.8295,0.8259,1.442
2.768386,-0.8578,0.8323,0.8489,1.466
2.785986,-0.8834,0.8681,0.9519,1.562
2.798908,-0.8220,0.8761,0.9180,1.512
2.813556,-0.7024,0.8891,0.8787,1.434
2.817783,-0.6305,0.8693,0.8328,1.359
2.833297,-0.6247,0.8627,0.8271,1.349
2.845812,-0.5988,0.8280,0.7697,1.279
2.849229,-0.5585,0.7894,0.7084,1.199
2.866650,-0.5443,0.7811,0.6856,1.173
2.879321,-0.4971,0.7419,0.6258,1.091
2.900692,-0.4719,0.6953,0.5571,1.008
2.915669,-0.4500,0.6538,0.5745,0.980
2.930400,-0.4570,0.6533,0.6868,1.052
2.940530,-0.5018,0.6690,0.7301,1.110
2.960516,-0.5069,0.7012,0.7033,1.115
2.975985,-0.5585,0.7766,0.6933,1.181
2.992453,-0.6682,0.8404,0.7565,1.313
3.012283,-0.8262,0.8600,0.8124,1.443
3.025656,-0.8729,0.8847,0.8359,1.498
3.039244,-0.8316,0.8866,0.8540,1.486
3.051854,-0.8524,0.8388,0.8447,1.464
3.066418,-0.8805,0.7503,0.7665,1.388
3.079416,-0.8551,0.6839,0.7030,1.301
3.095943,-0.7422,0.6254,0.6456,1.166
3.098457,-0.6757,0.5172,0.5876,1.034
3.113291,-0.6729,0.4976,0.5780,1.017
3.130658,-0.6482,0.3787,0.4504,0.875
3.147666,-0.5446,0.3491,0.3329,0.727
3.162636,-0.3811,0.3825,0.2838,0.610
3.176894,-0.3046,0.4109,0.2771,0.582
3.198635,-0.2450,0.4831,0.2955,0.617
3.212309,-0.2997,0.5248,0.1690,0.628
3.229867,-0.4014,0.5224,-0.0007,0.659
3.246349,-0.5047,0.5104,-0.1762,0.739
3.262527,-0.4866,0.5637,-0.1877,0.768
3.281418,-0.4486,0.6238,-0.1114,0.776
3.295287,-0.3816,0.7300,-0.0638,0.826
3.312406,-0.4065,0.7791,-0.1212,0.887
3.331047,-0.4740,0.8178,-0.1740,0.961
3.344840,-0.5411,0.8646,-0.0428,1.021
3.347411,-0.5832,0.8779,0.0658,1.056
3.360149,-0.5865,0.8788,0.0790,1.059
3.363442,-0.6005,0.8898,0.1711,1.087
3.377760,-0.6061,0.8888,0.1853,1.092
3.393856,-0.6377,0.8695,0.2745,1.113
3.414726,-0.6433,0.8495,0.3483,1.121
3.429091,-0.5993,0.8273,0.3991,1.097
3.443407,-0.5555,0.7892,0.4101,1.049
3.446515,-0.5257,0.7584,0.3977,1.005
3.461022,-0.5260,0.7535,0.3898,0.998
3.477825,-0.5844,0.7121,0.3463,0.984
3.493757,-0.6105,0.6936,0.2351,0.953
3.511064,-0.5695,0.6870,0.2181,0.919
3.525456,-0.4456,0.7117,0.2381,0.873
3.528332,-0.3965,0.7214,0.2273,0.854
3.545312,-0.3831,0.7249,0.2286,0.851
3.559021,-0.3862,0.7613,0.2566,0.891
3.579019,-0.4612,0.8057,0.3246,0.983
3.593703,-0.6699,0.8099,0.4061,1.127
3.609617,-0.8507,0.8018,0.3609,1.223
3.624518,-0.9443,0.7969,0.2923,1.270
3.629492,-0.8824,0.7743,0.3134,1.215
3.646205,-0.8719,0.7671,0.3218,1.205
3.659724,-0.7600,0.7230,0.3654,1.111
3.676930,-0.6591,0.7019,0.3871,1.038
3.692374,-0.5709,0.6880,0.3977,0.978
3.708806,-0.5250,0.6797,0.4162,0.954
3.725206,-0.5548,0.6548,0.4157,0.954
3.728401,-0.6242,0.6225,0.3786,0.959
3.743377,-0.6310,0.6137,0.3719,0.956
3.763782,-0.6518,0.5835,0.3206,0.932
3.780975,-0.6296,0.5768,0.2989,0.905
3.798740,-0.6774,0.5968,0.2617,0.940
3.812288,-0.7952,0.5971,0.3143,1.043
3.827351,-0.8856,0.6254,0.4369,1.169
3.843275,-0.9294,0.6572,0.5838,1.279
3.856905,-0.9335,0.7188,0.7385,1.390
3.859918,-0.9249,0.7964,0.8301,1.476
3.873766,-0.9184,0.8097,0.8408,1.485
3.893878,-0.8741,0.8891,0.8151,1.490
3.910423,-0.8346,0.9690,0.6781,1.447
3.924813,-0.8316,0.9675,0.5056,1.372
3.941615,-0.8087,0.9394,0.3781,1.296
3.952922,-0.7470,0.9059,0.3409,1.223
3.972548,-0.7007,0.8666,0.3754,1.176
3.984845,-0.6095,0.7813,0.4324,1.081
3.997300,-0.5670,0.7226,0.4650,1.030
4.009527,-0.5301,0.6660,0.5090,0.992
4.023782,-0.4898,0.6000,0.5379,0.943
4.038230,-0.4512,0.5460,0.5503,0.897
4.041246,-0.4474,0.4984,0.5219,0.849
4.054463,-0.4514,0.4952,0.5117,0.843
4.074664,-0.4705,0.4568,0.4616,0.802
4.090611,-0.4635,0.4559,0.3742,0.750
4.106552,-0.4065,0.4952,0.3099,0.712
4.120291,-0.3479,0.6173,0.3732,0.801
4.142154,-0.5707,0.7275,0.4687,1.037
4.156518,-1.0987,0.8214,0.5701,1.486
4.172025,-1.2572,0.8856,0.5906,1.647
4.187681,-1.2335,0.9392,0.6537,1.683
4.204550,-1.0589,1.0030,0.8237,1.675
4.207110,-1.0095,0.9616,0.8579,1.637
4.224160,-1.0165,0.9509,0.8522,1.632
4.237855,-1.0200,0.8441,0.7839,1.539
4.257207,-1.0129,0.7376,0.6195,1.398
4.276814,-0.9387,0.6264,0.3050,1.169
4.291655,-0.8514,0.5311,0.0472,1.005
4.308547,-0.7097,0.5155,-0.0533,0.879
4.323369,-0.5485,0.5299,-0.1039,0.770
4.338698,-0.4307,0.5336,-0.1165,0.696
4.361961,-0.4339,0.5339,-0.0878,0.694
4.377060,-0.5863,0.5509,-0.0821,0.809
4.393779,-0.6845,0.5321,-0.0887,0.872
4.409318,-0.7132,0.5155,-0.0585,0.882
4.428214,-0.6361,0.4994,-0.0296,0.809
4.443437,-0.4913,0.5329,-0.0331,0.726
